title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
Psycho Sheep Riddim	Sub	SS2	0	0	0	26.712	27.216									FALSE	3	NP	F	0	-	324		FALSE	7	NP	F	0	-	512		TRUE	9	FC	AAA	1573	0	841		TRUE	11	EX	AA	1908	21	1150	2.67120000E+001	FALSE	3	NP	F	0	-	330		FALSE	7	EX	AAA	932	10	509		TRUE	9	EX	AAA	1604	2	842		TRUE	11	HC	AAA	1944	23	1091	2.72160000E+001	
COSMIC CYBER	Sub	RT1	0	0	0	39.005	29.3355									FALSE	5	NP	F	0	-	524		FALSE	9	NP	F	0	-	862		TRUE	11	EX	AAA	2690	10	1469	3.90050000E+001									FALSE	6	NP	F	0	-	531		FALSE	9	NP	F	0	-	835		TRUE	11	HC	AA	2173	26	1325	2.93355000E+001									
A Tale Hidden In The Abyss	Sub	RT1	0	0	0	32.956	31.682									FALSE	6	NP	F	0	-	480		FALSE	9	NP	F	0	-	888		TRUE	11	EX	AA	2354	2	1346	3.29560000E+001									FALSE	6	NP	F	0	-	483		FALSE	9	NP	F	0	-	864		TRUE	11	EX	AA	2263	17	1346	3.16820000E+001									
Garuda	Sub	RT1	0	0	0	35.475	34.278									FALSE	5	NP	F	0	-	541		FALSE	9	NP	F	0	-	842		TRUE	11	FC	AAA	2365	2	1323	3.54750000E+001									FALSE	6	FC	AAA	1018	0	541		FALSE	9	EX	AAA	1592	6	876		TRUE	11	EX	AAA	2364	9	1319	3.42780000E+001									
グラナダの風	Sub	RT3	0	0	0	26.25	23.87									FALSE	5	NP	F	0	-	414		FALSE	8	NP	F	0	-	637		TRUE	10	FC	AAA	1750	2	954	2.62500000E+001									FALSE	5	NP	F	0	-	426		FALSE	7	NP	F	0	-	642		TRUE	10	EX	AA	1705	7	985	2.38700000E+001									
Unbelief	Sub	RT2	0	0	0	32.799	26.39									FALSE	5	NP	F	0	-	570		FALSE	10	NP	F	0	-	1113		TRUE	12	HC	A	2523	33	1675	3.27990000E+001									FALSE	6	NP	F	0	-	661		FALSE	10	EX	AA	1885	12	1092	2.63900000E+001	TRUE	12	EC	B	2263	103	1716										
CoMAAAAAAA	Sub	RT1	0	0	0	34.17	32.27									FALSE	6	NP	F	0	-	643		FALSE	9	NP	F	0	-	1068		TRUE	10	FC	AAA	2278	1	1208	3.41700000E+001									FALSE	6	NP	F	0	-	640		FALSE	10	EX	AAA	2102	10	1151		TRUE	10	EX	AA	2305	12	1304	3.22700000E+001									
Wonderland	Sub	RT2	0	0	0	37.526	36.134									FALSE	5	NP	F	0	-	542		FALSE	9	NP	F	0	-	957		TRUE	11	EX	AAA	2588	6	1393	3.75260000E+001									FALSE	5	NP	F	0	-	533		FALSE	9	NP	F	0	-	901		TRUE	11	EX	AAA	2492	12	1392	3.61340000E+001									
Mächö Mönky	Sub	RT3	0	0	0	30.8545	33.129									FALSE	6	NP	F	0	-	754		FALSE	10	NP	F	0	-	1123		TRUE	12	F	AA	2683	-	1588	3.08545000E+001									FALSE	6	NP	F	0	-	643		FALSE	10	NP	F	0	-	1100		TRUE	12	HC	AA	2454	49	1522	3.31290000E+001									
Glory	Sub	RT1	0	0	0	32.79	26.028									FALSE	4	NP	F	0	-	390		FALSE	7	NP	F	0	-	855		TRUE	9	FC	AAA	2186	2	1185	3.27900000E+001									FALSE	4	NP	F	0	-	376		FALSE	7	NP	F	0	-	838		TRUE	10	HC	AA	1928	36	1168	2.60280000E+001									
夏の匂い。キミの残像。 ft. Kanae Asaba	Sub	RT1	0	0	0	37.095	38.64									FALSE	4	NP	F	0	-	347		FALSE	8	NP	F	0	-	777		TRUE	10	FC	AAA	2473	0	1281	3.70950000E+001									FALSE	4	NP	F	0	-	355		FALSE	8	NP	F	0	-	817		TRUE	10	FC	AAA	2576	1	1348	3.86400000E+001									
AGAiN	Sub	RT2	0	0	0	33.3	30.8125									FALSE	5	NP	F	0	-	518		FALSE	8	NP	F	0	-	823		TRUE	10	FC	AAA	2220	0	1166	3.33000000E+001									FALSE	6	NP	F	0	-	565		FALSE	8	NP	F	0	-	842		TRUE	10	EX	AAA	2125	11	1195	3.08125000E+001									
Catch Our Fire!	Sub	TRI2	0	0	0	45.192	32.4185									FALSE	6	NP	F	0	-	699		FALSE	10	NP	F	0	-	1186		TRUE	12	EX	AA	3228	14	1885	4.51920000E+001									FALSE	6	NP	F	0	-	691		FALSE	10	NP	F	0	-	1198		TRUE	12	EC	A	2819	91	1888	3.24185000E+001									
dAuntl3ss	Sub	RT1	0	0	0	46.9945	29.957									FALSE	6	NP	F	0	-	542		FALSE	10	NP	F	0	-	1018		TRUE	12	EX	AAA	3241	7	1775	4.69945000E+001									FALSE	6	NP	F	0	-	584		FALSE	10	EX	AAA	2066	3	1157	2.99570000E+001	TRUE	12	EC	A	2564	76	1770										
Starry Night	Sub	RT3	0	0	0	35.94	33.5385									FALSE	4	NP	F	0	-	467		FALSE	7	NP	F	0	-	847		TRUE	10	FC	AAA	2396	1	1268	3.59400000E+001									FALSE	5	NP	F	0	-	542		FALSE	8	NP	F	0	-	926		TRUE	10	EX	AAA	2313	5	1254	3.35385000E+001									
Wing of Hearts	Sub	RT1	0	0	0	42.015	38.948									FALSE	5	NP	F	0	-	567		FALSE	8	NP	F	0	-	916		TRUE	10	FC	AAA	2801	1	1473	4.20150000E+001									FALSE	5	NP	F	0	-	565		FALSE	8	NP	F	0	-	918		TRUE	11	HC	AAA	2782	22	1477	3.89480000E+001									
Carmina	Sub	RT1	0	0	0	31.746	29.92									FALSE	6	NP	F	0	-	683		FALSE	10	NP	F	0	-	1292		TRUE	12	F	A	2886	116	2000	3.17460000E+001									FALSE	6	NP	F	0	-	701		FALSE	10	EX	AA	2130	14	1273		TRUE	12	F	A	2720	132	2000	2.99200000E+001									
L.F.O	Sub	RT3	0	0	0	41.692	34.281									FALSE	5	NP	F	0	-	444		FALSE	9	NP	F	0	-	898		TRUE	12	EX	AA	2978	13	1687	4.16920000E+001									FALSE	5	NP	F	0	-	448		FALSE	9	NP	F	0	-	847		TRUE	12	HC	A	2637	58	1697	3.42810000E+001									
The Rebellion of Sequencer	Sub	RT2	0	0	0	36.585	24.926									FALSE	7	NP	F	0	-	646		FALSE	10	NP	F	0	-	1054		TRUE	12	HC	AA	2710	23	1634	3.65850000E+001									FALSE	7	NP	F	0	-	640		FALSE	10	NP	F	0	-	1041		TRUE	12	F	A	2266	115	1628	2.49260000E+001									
花冠 feat.Aikapin	Sub	RT2	0	0	0	31.668	31.752									FALSE	6	NP	F	0	-	513		FALSE	9	NP	F	0	-	869		TRUE	11	EX	AA	2262	22	1365	3.16680000E+001									FALSE	6	NP	F	0	-	502		FALSE	9	NP	F	0	-	886		TRUE	11	EX	AA	2268	18	1366	3.17520000E+001									
セカンドピアス	Sub	RT2	0	0	0	29.49	28.0575									FALSE	3	NP	F	0	-	302		FALSE	6	NP	F	0	-	555		TRUE	9	FC	AAA	1966	1	1015	2.94900000E+001									FALSE	3	FC	AAA	597	0	300		FALSE	6	NP	F	0	-	504		TRUE	9	EX	AAA	1935	3	1002	2.80575000E+001									
Dr. Chemical & Killing Machine	Sub	RT3	0	0	0	43.848	31.988									FALSE	5	NP	F	0	-	567		FALSE	9	NP	F	0	-	964		TRUE	12	EX	AAA	3024	7	1700	4.38480000E+001									FALSE	5	NP	F	0	-	586		FALSE	9	NP	F	0	-	978		TRUE	12	F	A	2908	112	1919	3.19880000E+001									
ハードベース・フェスタ	Sub	RT2	0	0	0	38.6425	37.3085									FALSE	6	NP	F	0	-	582		FALSE	9	NP	F	0	-	928		TRUE	11	EX	AAA	2665	4	1447	3.86425000E+001									FALSE	6	EX	AAA	1057	5	562		FALSE	9	NP	F	0	-	966		TRUE	11	EX	AAA	2573	15	1441	3.73085000E+001									
IDC feat.REVERBEE (Mo'Cuts Ver)	Sub	RT3	0	0	0	28.098	23.598									FALSE	7	NP	F	0	-	557		FALSE	9	NP	F	0	-	818		TRUE	11	EX	AA	2007	15	1145	2.80980000E+001									FALSE	7	NP	F	0	-	553		FALSE	10	EX	AAA	1395	12	779		TRUE	11	HC	AA	1748	20	1017	2.35980000E+001									
Red. by Jack Trance	Sub	RT2	0	0	0	14.91	30.329									FALSE	7	NP	F	0	-	770		FALSE	10	NP	F	0	-	1122		TRUE	12	F	D	1491	-	1862	1.49100000E+001									FALSE	7	NP	F	0	-	735		FALSE	10	NP	F	0	-	1129		TRUE	12	HC	A	2333	65	1612	3.03290000E+001									
Twilight Warp	Sub	RT2	0	0	0	30.885	29.377									FALSE	4	NP	F	0	-	483		FALSE	7	NP	F	0	-	741		TRUE	9	FC	AAA	2059	0	1083	3.08850000E+001									FALSE	4	NP	F	0	-	483		FALSE	7	NP	F	0	-	740		TRUE	9	EX	AAA	2026	12	1110	2.93770000E+001									
Yum Yum Jelly	Sub	RT2	0	0	0	32.94	32.1755									FALSE	5	NP	F	0	-	398		FALSE	9	NP	F	0	-	799		TRUE	11	FC	AAA	2196	1	1204	3.29400000E+001									FALSE	5	NP	F	0	-	436		FALSE	9	NP	F	0	-	820		TRUE	11	EX	AAA	2219	7	1236	3.21755000E+001									
LADYBIRD	Sub	RT3	0	0	0	32.8425	27.54									FALSE	7	NP	F	0	-	572		FALSE	9	NP	F	0	-	865		TRUE	11	EX	AAA	2265	6	1258	3.28425000E+001									FALSE	7	NP	F	0	-	601		FALSE	9	NP	F	0	-	894		TRUE	11	HC	AA	2040	28	1253	2.75400000E+001									
Cranberry City ft. Luschel	Sub	RT1	0	0	0	34.11	33.2485									FALSE	5	NP	F	0	-	433		FALSE	8	NP	F	0	-	816		TRUE	10	FC	AAA	2274	1	1234	3.41100000E+001									FALSE	5	NP	F	0	-	447		FALSE	8	NP	F	0	-	792		TRUE	10	EX	AAA	2293	9	1272	3.32485000E+001									
& Intelligence	Sub	RT2	0	0	0	40.222	34.884									FALSE	5	NP	F	0	-	594		FALSE	9	NP	F	0	-	1112		TRUE	11	EX	AA	2873	17	1623	4.02220000E+001									FALSE	5	NP	F	0	-	603		FALSE	9	NP	F	0	-	1129		TRUE	11	HC	AA	2584	40	1600	3.48840000E+001									
Hurry Hurry	Sub	RT1	0	0	0	30.75	28.8115									FALSE	4	NP	F	0	-	380		FALSE	6	NP	F	0	-	527		TRUE	9	FC	AAA	2050	1	1045	3.07500000E+001									FALSE	4	NP	F	0	-	379		FALSE	6	NP	F	0	-	527		TRUE	9	EX	AAA	1987	6	1032	2.88115000E+001									
Ember Lights	Sub	RT2	0	0	0	38.445	33.4805									FALSE	5	NP	F	0	-	491		FALSE	9	NP	F	0	-	842		TRUE	11	FC	AAA	2563	0	1369	3.84450000E+001									FALSE	5	NP	F	0	-	530		FALSE	9	NP	F	0	-	863		TRUE	11	EX	AAA	2309	12	1296	3.34805000E+001									
Urban Constellations	Sub	RT1	0	0	0	30.9285	28.053									FALSE	4	NP	F	0	-	362		FALSE	8	NP	F	0	-	771		TRUE	11	EX	AAA	2133	7	1167	3.09285000E+001									FALSE	4	NP	F	0	-	372		FALSE	8	NP	F	0	-	761		TRUE	11	HC	AA	2078	37	1261	2.80530000E+001									
ONIGOROSHI	Sub	RT2	0	0	0	35.938	33.0615									FALSE	6	NP	F	0	-	597		FALSE	10	NP	F	0	-	1107		TRUE	12	EX	AA	2567	9	1541	3.59380000E+001									FALSE	6	NP	F	0	-	584		FALSE	10	NP	F	0	-	1107		TRUE	12	HC	AA	2449	40	1503	3.30615000E+001									
爆ゼニ☆がってんワーカー	Sub	RT3	0	0	0	32.886	30.562									FALSE	6	NP	F	0	-	639		FALSE	9	NP	F	0	-	993		TRUE	11	EX	AA	2349	8	1391	3.28860000E+001									FALSE	6	NP	F	0	-	634		FALSE	9	NP	F	0	-	1009		TRUE	11	EX	AA	2183	14	1332	3.05620000E+001									
The Sealer ～ア・ミリアとミリアの民～	Sub	PNM1	0	0	0	32.475	30.885									FALSE	4	NP	F	0	-	427		FALSE	7	FC	AAA	1401	1	716		TRUE	10	FC	AAA	2165	1	1117	3.24750000E+001									FALSE	4	NP	F	0	-	436		FALSE	7	EX	AAA	1319	3	690		TRUE	10	FC	AAA	2059	4	1056	3.08850000E+001									
GIGA THRASH	Sub	RT1	0	0	0	37.59	32.7375									FALSE	6	NP	F	0	-	643		FALSE	9	EX	AAA	1804	4	970		TRUE	11	FC	AAA	2506	1	1400	3.75900000E+001									FALSE	7	NP	F	0	-	662		FALSE	9	NP	F	0	-	1002		TRUE	12	HC	AA	2425	46	1503	3.27375000E+001									
Angels & Demons	Sub	RT2	0	0	0	34.92	33.7125									FALSE	5	NP	F	0	-	468		FALSE	8	NP	F	0	-	907		TRUE	10	FC	AAA	2328	0	1233	3.49200000E+001									FALSE	5	NP	F	0	-	500		FALSE	8	NP	F	0	-	897		TRUE	10	EX	AAA	2325	13	1227	3.37125000E+001									
ミストレス・アンに花束を	Sub	RT2	0	0	0	20.835	19.6475									FALSE	3	NP	F	0	-	293		FALSE	6	NP	F	0	-	518		TRUE	8	FC	AAA	1389	0	718	2.08350000E+001									FALSE	3	FC	AAA	553	0	279		FALSE	6	NP	F	0	-	465		TRUE	8	EX	AAA	1355	4	709	1.96475000E+001									
SPEED ROCKER	Sub	RT2	0	0	0	32.37	29.582									FALSE	4	NP	F	0	-	464		FALSE	9	NP	F	0	-	879		TRUE	10	FC	AAA	2158	1	1175	3.23700000E+001									FALSE	4	NP	F	0	-	491		FALSE	9	NP	F	0	-	874		TRUE	10	EX	AA	2113	11	1214	2.95820000E+001									
IDOL syndrome.	Sub	RT3	0	0	0	30.624	31.7115									FALSE	4	NP	F	0	-	382		FALSE	7	NP	F	0	-	738		TRUE	10	EX	AAA	2112	4	1109	3.06240000E+001									FALSE	4	NP	F	0	-	397		FALSE	7	NP	F	0	-	720		TRUE	10	EX	AAA	2187	5	1183	3.17115000E+001									
OVER TIME	Sub	RT1	0	0	0	29.64	28.42									FALSE	3	NP	F	0	-	293		FALSE	5	NP	F	0	-	492		TRUE	8	FC	AAA	1511	2	779		TRUE	10	FC	AAA	1976	1	1013	2.96400000E+001	FALSE	3	NP	F	0	-	262		FALSE	6	NP	F	0	-	556		TRUE	9	EX	AAA	1615	4	841		TRUE	10	EX	AAA	1960	8	1032	2.84200000E+001	
Let me be your cure	Sub	RT1	0	0	0	38.67	36.0905									FALSE	5	NP	F	0	-	573		FALSE	7	NP	F	0	-	718		TRUE	10	FC	AAA	2578	0	1344	3.86700000E+001									FALSE	5	NP	F	0	-	631		FALSE	8	NP	F	0	-	879		TRUE	10	EX	AAA	2489	10	1354	3.60905000E+001									
Next Tales 2 Oath (IIDX 20th Anniv "Ring" Theme)	Sub	RT2	0	0	0	37.725	33.348									FALSE	5	NP	F	0	-	457		FALSE	9	NP	F	0	-	847		TRUE	11	FC	AAA	2515	0	1387	3.77250000E+001									FALSE	5	NP	F	0	-	519		FALSE	8	NP	F	0	-	820		TRUE	11	EX	AA	2382	15	1415	3.33480000E+001									
龍王の霊廟(Mausoleum Of The Primal Dragon)	Sub	RT1	0	0	0	45.615	35.316									FALSE	6	NP	F	0	-	576		FALSE	10	EX	AAA	2265	4	1190		TRUE	11	FC	AAA	3041	1	1614	4.56150000E+001									FALSE	5	NP	F	0	-	577		FALSE	10	NP	F	0	-	1070		TRUE	11	HC	AA	2616	19	1599	3.53160000E+001									
Wolf 1061	Sub	RT2	0	0	0	40.977	33.6555									FALSE	4	NP	F	0	-	516		FALSE	8	NP	F	0	-	872		TRUE	11	EX	AAA	2826	4	1584	4.09770000E+001									FALSE	5	NP	F	0	-	572		FALSE	9	NP	F	0	-	936		TRUE	11	HC	AA	2493	27	1514	3.36555000E+001									
金野火織の金色提言	Sub	RT1	0	0	0	36.0855	33.514									FALSE	6	NP	F	0	-	643		FALSE	10	EX	AAA	2185	9	1171		TRUE	12	HC	AA	2673	42	1630	3.60855000E+001									FALSE	6	NP	F	0	-	640		FALSE	10	NP	F	0	-	1189		TRUE	12	HC	A	2578	61	1676	3.35140000E+001									
EVANESCENT	Bits	Bits	6000	10000	12000	41.524	35.282									FALSE	6	NP	F	0	-	661		FALSE	10	NP	F	0	-	1241		TRUE	12	EX	AA	2966	13	1845	4.15240000E+001									FALSE	6	NP	F	0	-	660		FALSE	10	NP	F	0	-	1174		TRUE	12	HC	A	2714	50	1820	3.52820000E+001									
LOST TECHNOLOGIE	Sub	RT3	0	0	0	0	28.259									FALSE	5	NP	F	0	-	590		FALSE	9	NP	F	0	-	984		TRUE	12	NP	F	0	-	1822										FALSE	5	NP	F	0	-	644		FALSE	9	NP	F	0	-	1009		TRUE	12	F	A	2569	121	1849	2.82590000E+001									
XENON II ～TOMOYUKIの野望～	Sub	RT1	0	0	0	39.614	32.3325									FALSE	6	NP	F	0	-	601		FALSE	9	NP	F	0	-	915		TRUE	11	EX	AAA	2732	3	1523	3.96140000E+001									FALSE	6	NP	F	0	-	609		FALSE	9	NP	F	0	-	911		TRUE	11	HC	AA	2395	37	1482	3.23325000E+001									
REPLAY	Sub	RT2	0	0	0	32.28	35.63									FALSE	4	NP	F	0	-	478		FALSE	8	NP	F	0	-	840		TRUE	10	FC	AAA	2152	0	1141	3.22800000E+001									FALSE	6	NP	F	0	-	820		FALSE	9	NP	F	0	-	973		TRUE	11	EX	AA	2545	10	1505	3.56300000E+001									
Playing With Fire	Sub	RT3	0	0	0	29.82	26.6355									FALSE	6	NP	F	0	-	512		FALSE	9	NP	F	0	-	866		TRUE	11	EX	AA	2130	6	1200	2.98200000E+001									FALSE	6	NP	F	0	-	516		FALSE	9	NP	F	0	-	814		TRUE	11	HC	AA	1973	14	1113	2.66355000E+001									
GO OVER WITH GLARE -ROOTAGE 26-	Sub	RT3	0	0	0	45.2925	30.36									FALSE	6	NP	F	0	-	548		FALSE	10	NP	F	0	-	1160		TRUE	12	HC	AA	3355	36	2000	4.52925000E+001									FALSE	6	NP	F	0	-	558		FALSE	10	NP	F	0	-	1129		TRUE	12	EC	A	2640	71	1769	3.03600000E+001									
お菓子の王国	Sub	RT2	0	0	0	46.8315	34.43									FALSE	7	NP	F	0	-	718		FALSE	10	NP	F	0	-	1191		TRUE	12	HC	AA	3469	34	2109	4.68315000E+001									FALSE	7	NP	F	0	-	705		FALSE	10	NP	F	0	-	1225		TRUE	12	F	A	3130	141	2135	3.44300000E+001									
50th Memorial Songs -Beginning Story-	Base	Base	0	0	0	35.931	32.643									FALSE	4	FC	AAA	796	0	417		FALSE	8	FC	AAA	1559	2	846		TRUE	10	EX	AAA	2478	3	1378	3.59310000E+001									FALSE	4	NP	F	0	-	433		FALSE	8	NP	F	0	-	867		TRUE	11	HC	AA	2418	26	1468	3.26430000E+001									
50th Memorial Songs -二人の時 ～under the cherry blossoms～-	Base	Base	0	0	0	37.89	35.3365									FALSE	5	FC	AAA	1215	0	621		FALSE	8	NP	F	0	-	834		TRUE	10	FC	AAA	2526	1	1311	3.78900000E+001									FALSE	5	NP	F	0	-	623		FALSE	8	FC	AAA	1549	0	829		TRUE	10	EX	AAA	2437	11	1317	3.53365000E+001									
50th Memorial Songs -Flagship medley-	Base	Base	0	0	0	31.68	28.77									FALSE	5	NP	F	0	-	496		FALSE	8	FC	AA	1277	0	786		TRUE	10	FC	AAA	2112	0	1157	3.16800000E+001									FALSE	5	NP	F	0	-	481		FALSE	8	EX	AA	1351	8	785		TRUE	10	HC	AAA	2055	24	1148	2.87700000E+001									
50th Memorial Songs -The BEMANI History-	Base	Base	0	0	0	33.544	27.5805									FALSE	5	NP	F	0	-	545		FALSE	9	EX	AAA	1585	2	851		TRUE	11	EX	AA	2396	7	1348	3.35440000E+001									FALSE	6	NP	F	0	-	628		FALSE	9	NP	F	0	-	889		TRUE	11	HC	AA	2043	36	1290	2.75805000E+001									
Night! Night! Night!	Sub	RT1	0	0	0	39.7445	34.533									FALSE	6	NP	F	0	-	609		FALSE	9	NP	F	0	-	931		TRUE	11	EX	AAA	2741	7	1540	3.97445000E+001									FALSE	6	FC	AAA	1159	0	590		FALSE	9	EX	AAA	1721	3	917		TRUE	12	HC	AA	2558	34	1486	3.45330000E+001									
ruin of opals	Sub	RT1	0	0	0	36.946	31.98									FALSE	6	NP	F	0	-	533		FALSE	10	NP	F	0	-	1016		TRUE	12	EX	AA	2639	15	1646	3.69460000E+001									FALSE	6	NP	F	0	-	537		FALSE	10	NP	F	0	-	1012		TRUE	12	HC	A	2460	38	1604	3.19800000E+001									
Technicolour Dreams	Sub	RT2	0	0	0	35.055	33.0455									FALSE	5	NP	F	0	-	474		FALSE	8	NP	F	0	-	722		TRUE	10	FC	AAA	2337	0	1202	3.50550000E+001									FALSE	5	NP	F	0	-	454		FALSE	8	NP	F	0	-	708		TRUE	10	EX	AAA	2279	3	1209	3.30455000E+001									
Carry Me Away	Sub	RT3	0	0	0	42.8185	35.343									FALSE	7	NP	F	0	-	575		FALSE	9	NP	F	0	-	933		TRUE	12	EX	AAA	2953	10	1613	4.28185000E+001									FALSE	6	NP	F	0	-	595		FALSE	9	NP	F	0	-	957		TRUE	12	HC	AA	2618	43	1568	3.53430000E+001									
ROZA DE ANDALUCIA	Sub	RT1	0	0	0	37.674	33.399									FALSE	6	NP	F	0	-	667		FALSE	9	NP	F	0	-	1071		TRUE	11	EX	AA	2691	13	1560	3.76740000E+001									FALSE	6	NP	F	0	-	665		FALSE	9	NP	F	0	-	1069		TRUE	11	HC	AA	2474	49	1557	3.33990000E+001									
ToyCube Pf.(RX-Ver.S.P.L.)	Sub	RT1	0	0	0	32.55	36.078									FALSE	4	NP	F	0	-	379		FALSE	7	NP	F	0	-	789		TRUE	9	FC	AAA	2170	0	1153	3.25500000E+001	TRUE	11	NP	F	0	-	1453		FALSE	7	NP	F	0	-	575		FALSE	9	NP	F	0	-	1038		TRUE	11	HC	AAA	2577	18	1395	3.60780000E+001	TRUE	12	NP	F	0	-	1731		
Sidechained Threats	Sub	RT1	0	0	0	33.465	33.561									FALSE	6	NP	F	0	-	627		FALSE	8	NP	F	0	-	1026		TRUE	10	FC	AAA	2231	0	1238	3.34650000E+001									FALSE	8	NP	F	0	-	984		FALSE	10	NP	F	0	-	1216		TRUE	11	HC	AA	2486	17	1526	3.35610000E+001									
Necroxis Girl	Sub	JB1	0	0	0	35.588	25.586									FALSE	6	NP	F	0	-	601		FALSE	9	NP	F	0	-	1027		TRUE	11	EX	AA	2542	6	1441	3.55880000E+001									FALSE	6	NP	F	0	-	558		FALSE	9	NP	F	0	-	962		TRUE	12	F	A	2326	64	1505	2.55860000E+001									
Geirskögul	Sub	RT2	0	0	0	31.305	29.8265									FALSE	5	NP	F	0	-	545		FALSE	8	NP	F	0	-	808		TRUE	10	FC	AAA	2087	2	1128	3.13050000E+001									FALSE	5	NP	F	0	-	555		FALSE	8	NP	F	0	-	745		TRUE	10	EX	AAA	2057	6	1122	2.98265000E+001									
Please Welcome Mr.C	Sub	RT1	0	0	0	37.45	32.4135									FALSE	6	NP	F	0	-	572		FALSE	9	NP	F	0	-	916		TRUE	12	EX	AA	2675	7	1522	3.74500000E+001									FALSE	6	NP	F	0	-	583		FALSE	9	NP	F	0	-	932		TRUE	11	HC	AA	2401	35	1462	3.24135000E+001									
HARD BRAIN	Sub	RT2	0	0	0	49.358	37.063									FALSE	6	NP	F	0	-	701		FALSE	9	NP	F	0	-	1044		TRUE	12	EX	AAA	3404	6	1914	4.93580000E+001									FALSE	6	NP	F	0	-	706		FALSE	9	NP	F	0	-	1095		TRUE	12	HC	A	2851	58	1903	3.70630000E+001									
Visterhv	Sub	RT2	0	0	0	49.097	39.2985									FALSE	6	NP	F	0	-	642		FALSE	10	NP	F	0	-	1152		TRUE	12	EX	AAA	3386	8	1869	4.90970000E+001									FALSE	6	NP	F	0	-	637		FALSE	10	EX	AAA	2144	10	1159		TRUE	12	HC	AA	2911	51	1782	3.92985000E+001									
Trill auf G	Bits	Bits	6000	10000	12000	0	28.716									FALSE	6	NP	F	0	-	586		FALSE	10	NP	F	0	-	1098		TRUE	12	NP	F	0	-	1670										FALSE	6	NP	F	0	-	577		FALSE	10	NP	F	0	-	1059		TRUE	12	NC	A	2393	72	1610	2.87160000E+001									
voltississimo	Sub	RT3	0	0	0	41.4315	40.095									FALSE	6	NP	F	0	-	613		FALSE	10	NP	F	0	-	1135		TRUE	12	HC	AA	3069	48	1888	4.14315000E+001									FALSE	6	NP	F	0	-	613		FALSE	10	NP	F	0	-	1146		TRUE	12	HC	AA	2970	45	1824	4.00950000E+001									
toy boxer	Sub	RT2	0	0	0	31.785	31.146									FALSE	4	NP	F	0	-	390		FALSE	8	NP	F	0	-	725		TRUE	10	FC	AAA	2119	0	1122	3.17850000E+001									FALSE	4	NP	F	0	-	401		FALSE	8	NP	F	0	-	743		TRUE	10	EX	AAA	2148	12	1149	3.11460000E+001									
最小三倍完全数	Bits	Bits	5000	9500	12000	0	24.679									FALSE	5	NP	F	0	-	469		FALSE	9	NP	F	0	-	921		TRUE	12	NP	F	0	-	1314										FALSE	5	NP	F	0	-	464		FALSE	10	NP	F	0	-	908		TRUE	12	EC	A	2146	106	1414	2.46790000E+001									
Six String Proof	Sub	RT3	0	0	0	31.794	26.5275									FALSE	5	NP	F	0	-	455		FALSE	9	NP	F	0	-	855		TRUE	11	EX	AA	2271	2	1308	3.17940000E+001									FALSE	5	NP	F	0	-	464		FALSE	9	NP	F	0	-	845		TRUE	11	HC	AA	1965	26	1220	2.65275000E+001									
おーまい！らぶりー！すうぃーてぃ！だーりん！	Sub	PNM1	0	0	0	39.643	31.8735									FALSE	5	NP	F	0	-	560		FALSE	9	NP	F	0	-	1009		TRUE	11	EX	AAA	2734	9	1480	3.96430000E+001									FALSE	6	NP	F	0	-	599		FALSE	9	NP	F	0	-	991		TRUE	11	HC	AA	2361	33	1480	3.18735000E+001									
Afterimage d'automne	Sub	RT3	0	0	0	36.134	35.5455									FALSE	6	NP	F	0	-	519		FALSE	9	NP	F	0	-	879		TRUE	11	EX	AA	2581	8	1480	3.61340000E+001									FALSE	6	NP	F	0	-	525		FALSE	9	NP	F	0	-	913		TRUE	12	HC	AA	2633	24	1554	3.55455000E+001									
BLACK JACKAL	Sub	RT3	0	0	0	31.8855	28.252									FALSE	5	NP	F	0	-	428		FALSE	8	NP	F	0	-	812		TRUE	10	EX	AAA	2199	6	1183	3.18855000E+001									FALSE	5	NP	F	0	-	428		FALSE	8	NP	F	0	-	813		TRUE	10	EX	AA	2018	14	1138	2.82520000E+001									
