title	Type	Label	Cost Normal	Cost Hyper	Cost Another	SP DJ Points	DP DJ Points	SPB Unlocked	SPB Rating	SPB Lamp	SPB Letter	SPB EX Score	SPB Miss Count	SPB Note Count	SPB DJ Points	SPN Unlocked	SPN Rating	SPN Lamp	SPN Letter	SPN EX Score	SPN Miss Count	SPN Note Count	SPN DJ Points	SPH Unlocked	SPH Rating	SPH Lamp	SPH Letter	SPH EX Score	SPH Miss Count	SPH Note Count	SPH DJ Points	SPA Unlocked	SPA Rating	SPA Lamp	SPA Letter	SPA EX Score	SPA Miss Count	SPA Note Count	SPA DJ Points	SPL Unlocked	SPL Rating	SPL Lamp	SPL Letter	SPL EX Score	SPL Miss Count	SPL Note Count	SPL DJ Points	DPN Unlocked	DPN Rating	DPN Lamp	DPN Letter	DPN EX Score	DPN Miss Count	DPN Note Count	DPN DJ Points	DPH Unlocked	DPH Rating	DPH Lamp	DPH Letter	DPH EX Score	DPH Miss Count	DPH Note Count	DPH DJ Points	DPA Unlocked	DPA Rating	DPA Lamp	DPA Letter	DPA EX Score	DPA Miss Count	DPA Note Count	DPA DJ Points	DPL Unlocked	DPL Rating	DPL Lamp	DPL Letter	DPL EX Score	DPL Miss Count	DPL Note Count	DPL DJ Points
Abyss	Bits	Bits	6000	7500	8500	27.315	26.187									FALSE	5	NP	F	0	-	639		FALSE	7	NP	F	0	-	817		TRUE	8	FC	AAA	1821	0	945	2.73150000E+001									FALSE	7	NP	F	0	-	771		FALSE	8	NP	F	0	-	889		TRUE	9	EX	AAA	1806	10	964	2.61870000E+001									
in my eyes	Base	Base	0	0	0	22.995	26.04									FALSE	5	NP	F	0	-	484		FALSE	6	NP	F	0	-	739		TRUE	7	FC	AAA	1533	1	798	2.29950000E+001									FALSE	5	NP	F	0	-	484		FALSE	8	NP	F	0	-	842		TRUE	10	EX	AA	1860	4	1051	2.60400000E+001									
Kiss me all night long	Bits	Bits	5000	6000	7000	21.51	19.2415									FALSE	5	NP	F	0	-	471		FALSE	6	NP	F	0	-	629		TRUE	7	FC	AAA	1434	0	746	2.15100000E+001									FALSE	5	NP	F	0	-	480		FALSE	6	NP	F	0	-	620		TRUE	7	EX	AAA	1327	3	703	1.92415000E+001									
outer wall	Bits	Bits	5000	6500	9000	25.035	22.596									FALSE	5	NP	F	0	-	474		FALSE	6	NP	F	0	-	687		TRUE	8	FC	AAA	1669	1	892	2.50350000E+001									FALSE	5	NP	F	0	-	474		FALSE	7	NP	F	0	-	736		TRUE	10	HC	AAA	1614	24	902	2.25960000E+001									
QQQ	Bits	Bits	7500	10000	5000	30.855	31.077									FALSE	5	NP	F	0	-	621		FALSE	8	NP	F	0	-	961		TRUE	10	FC	AAA	2057	3	1091	3.08550000E+001									FALSE	10	NP	F	0	-	1016		FALSE	12	HC	AA	2302	37	1346	3.10770000E+001																	
Radical Faith	Bits	Bits	5500	8500	8500	19.065	32.032									FALSE	5	NP	F	0	-	602		FALSE	6	NP	F	0	-	768		TRUE	7	FC	AAA	1271	1	660	1.90650000E+001									FALSE	6	NP	F	0	-	749		FALSE	11	HC	AAA	2288	19	1255	3.20320000E+001	TRUE	10	HC	AAA	1968	24	1101										
Real	Bits	Bits	6000	8500	10000	25.44	26.352									FALSE	5	NP	F	0	-	580		FALSE	8	NP	F	0	-	866		TRUE	9	FC	AAA	1696	3	920	2.54400000E+001									FALSE	7	NP	F	0	-	796		FALSE	9	NP	F	0	-	949		TRUE	11	HC	AA	1952	26	1139	2.63520000E+001									
Regulus	Bits	Bits	6000	9500	10500	23.88	23.3685									FALSE	6	NP	F	0	-	551		FALSE	9	NP	F	0	-	788		TRUE	10	FC	AAA	1592	2	881	2.38800000E+001									FALSE	6	NP	F	0	-	545		FALSE	10	NP	F	0	-	805		TRUE	11	HC	AA	1731	43	1065	2.33685000E+001									
RIDE ON THE LIGHT (HI GREAT MIX)	Bits	Bits	4500	6500	8500	24.8675	27.086									FALSE	4	NP	F	0	-	452		FALSE	5	NP	F	0	-	548		TRUE	8	FC	AAA	1650	0	862		TRUE	10	EX	AAA	1715	14	931	2.48675000E+001	FALSE	5	NP	F	0	-	469		FALSE	8	NP	F	0	-	616		TRUE	9	EX	AAA	1732	5	904		TRUE	10	EX	AAA	1868	4	1010	2.70860000E+001	
RISLIM	Bits	Bits	4000	6500		17.805	16.907									FALSE	4	NP	F	0	-	463		FALSE	7	FC	AAA	1187	2	625	1.78050000E+001																	FALSE	4	NP	F	0	-	463		FALSE	6	EX	AAA	1166	6	625	1.69070000E+001																	
